,Address,Total_Rec,Total_Sent,Balance,N_TX,N_Rec,N_Sent,Avg_Rec,Min_Rec,Max_Rec,Avg_Sent,Min_Sent,Max_Sent,Time_Between_FirstLast,Avg_Delta_Rec,Min_Delta_Rec,Max_Delta_Rec,Avg_Delta_Sent,Min_Delta_Sent,Max_Delta_Sent,Unique_Rec,Unique_Sent,Month,Class
2431,34YEpb1vz7F2XJ9Es2KEtAKdQAw6D1N6cT,219946784,219946784,0,2,1,1,219946784.0,219946784,219946784,219946784.0,219946784,219946784,760,0.0,0,0,0.0,0,0,1,25,,0
2432,bc1qn7kl96paavakzue3anjxsnhkr2n0pxvd68e2c2,63415693,63415693,0,48,25,25,2536627.72,23938,11300000,2536627.72,23938,11300000,30932244,1224737.375,128,12508211,1047763.6666666666,0,13188959,2099,321,,0
2433,19QPnXA9d22aVCPC4k8X8eY6xXRtzm6C2t,81075297,81075297,0,6,3,3,27025099.0,1680000,50314480,27025099.0,1680000,50314480,6300410,3118283.0,1313114,4923452,3139624.5,1294372,4984877,34,169,,1
2434,1KQHrP68DYextURS2FWqk92QqSsDGoh3aP,466519459,466519459,0,28,14,14,33322818.5,1251000,132109930,33322818.5,1251000,132109930,160107689,12313308.384615384,129481,34046304,12281102.615384616,125726,34019137,1079,129,,0
2435,31qbHaZE9Y3dz5yD2LRwkGjK3x1VfwfFLZ,5595534539,5595534539,0,16,8,8,699441817.375,292681347,1444009458,699441817.375,292681347,1444009458,27109013,3868802.5714285714,686477,11073301,3872576.4285714286,684044,11071307,8,24,,0
2436,1DbZbjni999yqmkGwWy79cT9LP8dhFqzuQ,55235064,55235064,0,18,12,12,4602922.0,9188,24998128,4602922.0,9188,24998128,3022489,274661.36363636365,1588,1600456,260542.0,0,1584744,16,216,,1
2437,14HnW9Ty8rCADEP9GoSGYDRrGe8RxVCr1S,41256152,41256152,0,6,3,3,13752050.666666666,5549620,22101239,13752050.666666666,5549620,22101239,624703,308142.0,1680,614604,309676.0,178731,440621,3,10,,1
2438,3FGCLaN7SvJSrtTS18dApm3x9rnNUaBMMY,419499,419499,0,3,2,2,209749.5,2937,416562,209749.5,2937,416562,1224209,0.0,0,0,0.0,0,0,371,133,,1
2439,39Z3r9ywTUNgiMycXknohEPvJjNzZh3JMs,4067501,0,4067501,2,2,1,2033750.5,2027501,2040000,0.0,0,0,72163,0.0,0,0,0.0,0,0,2,2,,1
2440,bc1q9ehzevtwmz9wu6sq0sudskvp8lhw5239lk3ah0,3387818,3387818,0,2,1,1,3387818.0,3387818,3387818,3387818.0,3387818,3387818,3512,0.0,0,0,0.0,0,0,2,64,,1
2441,1NbziXG52hw12EbfEpdo5Ccy15K4ZJeupv,30415106,18219986,12195120,9,7,2,4345015.142857143,309395,10141367,9109993.0,8924572,9295414,359301,1772.6666666666667,15,4401,0.0,0,0,6,41,,1
2442,1KtMqDFfRiZ2EQyY6Bp3nSrt3zFaFpU54K,355090734,355090734,0,52,49,49,7246749.673469388,12303,191649434,7246749.673469388,12303,191649434,4168556,6144.958333333333,32,118490,85495.375,0,3932907,71,2731,,1
2443,1ALsfpG9um5mhH9T9vGjvEvY7cYNV5vyin,81000000,81000000,0,2,1,1,81000000.0,81000000,81000000,81000000.0,81000000,81000000,538722,0.0,0,0,0.0,0,0,1,3,,1
2444,37XcgmbLz2CggZhURJ5qXcMDpcJndQfiUj,34120435,33612003,508432,36,19,17,1795812.3684210526,73895,12969485,1977176.6470588236,80000,12969485,14353197,797399.8333333334,17011,3030954,835462.375,36602,2740205,6504,500,,1
2445,bc1qxluxjjzsvkah4xugm9k3qhmetnsz9k5l0sy030,9167077,9167077,0,2,1,1,9167077.0,9167077,9167077,9167077.0,9167077,9167077,344561,0.0,0,0,0.0,0,0,1,2,,0
2446,bc1qve0fkskdsue3gsnzrlhrxmrg6nrvv6r7m8upvn,1880000,1880000,0,2,1,1,1880000.0,1880000,1880000,1880000.0,1880000,1880000,5169,0.0,0,0,0.0,0,0,1,27,,1
2447,bc1qy9j6h7pshpua3wgrqujxdlfhuuyasdt5lly73n,61795764,61795764,0,91,63,63,980885.1428571428,65144,5347678,980885.1428571428,65144,5347678,6723734,108070.24193548386,301,657596,104855.2741935484,0,850608,68,1531,,1
2448,18ZSJrqf3iLwdvpwsmgBg2XX2Mw5HCYSeJ,100000,100000,0,2,1,1,100000.0,100000,100000,100000.0,100000,100000,389200,0.0,0,0,0.0,0,0,3,21,,0
2449,bc1qqagvadedj6d9e0z4w22564jqu648y5n6fqsda2,224385,224385,0,2,1,1,224385.0,224385,224385,224385.0,224385,224385,266730,0.0,0,0,0.0,0,0,2,3,,1
2450,1Mz3oEob4Bp1Yu2R89iRctv3mremWRAFWR,100000,0,100000,1,1,1,100000.0,100000,100000,0.0,0,0,0,0.0,0,0,0.0,0,0,1,1,,1
2451,35xwnxPBc546mQa6xDnW6dMXd6KamXFWbD,283437,283437,0,2,1,1,283437.0,283437,283437,283437.0,283437,283437,467,0.0,0,0,0.0,0,0,1,6,,1
2452,1KXric25N7xuHqrvvrCpobm5sF9TVgT4zb,27000000,27000000,0,2,1,1,27000000.0,27000000,27000000,27000000.0,27000000,27000000,11336481,0.0,0,0,0.0,0,0,7,23,,1
2453,1HDGkq8wUcWywPfaC7XCzniucnARSFzGWS,22363990,22363990,0,24,17,17,1315528.8235294118,2453,7896631,1315528.8235294118,2453,7896631,135745615,7182733.25,50711,99056431,8483751.625,0,99814465,14,27,,0
2454,bc1q95lxd2444y8hlrrvt8y5n8pd2pvag84fje6qd8,28852337,28852337,0,101,63,64,450878.3650793651,101299,2738543,450817.765625,101299,2738543,17186595,277095.0483870968,0,6821727,272803.09523809527,0,6876322,36,685,,1
2455,1QL7BCPDKdZaAFreSxm5AuKi3hLWh3N4Rp,17212571,17212571,0,11,6,6,2868761.8333333335,258008,7566230,2868761.8333333335,258008,7566230,99433822,7532051.8,173568,33275443,19885513.6,0,95474364,206,42,,1
2456,399jyzJQmCneFd8mzKSoxJKZJfEYafkA1A,675570,675570,0,2,1,1,675570.0,675570,675570,675570.0,675570,675570,95243,0.0,0,0,0.0,0,0,35,24,,0
2457,1mS1N4YRftNcr8Hgo4ZGzc1DJ7LfkkcAG,119327695,119327695,0,2,1,1,119327695.0,119327695,119327695,119327695.0,119327695,119327695,3112,0.0,0,0,0.0,0,0,1,3,,0
2458,3P14vP3o7d9o1yK7hVd68JDoBoQrfKGc3D,468789102,468784586,4516,380,92,97,1094812.3369565217,11485,2516568,1091788.4536082475,11485,2516568,7292738,25559.846153846152,0,178001,69966.63541666667,0,4726107,377,710,,1
2459,3GiVNpYmYVX9czEHidnufN2A7phtrphAU3,23567267,23567267,0,2,1,1,23567267.0,23567267,23567267,23567267.0,23567267,23567267,890,0.0,0,0,0.0,0,0,1,3,,1
2460,bc1qklwst4n7gwch8ft7tmh249v98kfdu8s5pmncp4,795344,795344,0,2,1,1,795344.0,795344,795344,795344.0,795344,795344,162648,0.0,0,0,0.0,0,0,2,3,,0
2461,1LrPsPUe25PTbeCq2sEgVEdtmNnt6HA83y,6150394,6150394,0,2,1,1,6150394.0,6150394,6150394,6150394.0,6150394,6150394,85681,0.0,0,0,0.0,0,0,1,2,,1
2462,1BnTVY6CsLP8iqhUr5nWSrvA8v8J4GXcN1,29087876,29087876,0,115,51,54,562081.0980392157,1301,10118672,532478.5,1301,10118672,57966987,1127675.96,0,7436736,1093716.7358490566,0,7509623,6370,788,,1
2463,bc1q2f5uy50ykd2gz6u2hpdg3twv8zh9t2f9s53yd4,24178,24178,0,2,1,1,24178.0,24178,24178,24178.0,24178,24178,0,0.0,0,0,0.0,0,0,1,2,,0
2464,bc1qfmafle04uvpareh0y2k5s28nrdkflxgxa95t5v,200450282,200444014,6268,219,97,97,928061.1237113402,6268,3093505,932794.2989690722,10347,3093505,23488467,244671.53125,0,8387946,244671.53125,0,8387946,3,91,,0
2465,bc1qr2zn06e4cm5qyjpqs5mqssv8g9g4pfhm4tpzxm,16375763574,16371474775,4288799,1836,72,71,18711203.0,4046211,27768004,18917752.183098592,8566712,27768004,9419407,132666.94366197183,412,653383,134561.32857142857,26,1241803,7,97,,0
2466,1BUGyLYvwAFY5A8gHbZVcQ2wU3bvSkEqbv,782564,782564,0,2,1,1,782564.0,782564,782564,782564.0,782564,782564,7167,0.0,0,0,0.0,0,0,13,1,,0
2467,36QJQt9w1HzH6Bq3XMgdjkTz22h1USu4Tn,740543041,740166170,376871,491,62,76,1618922.0,28058,21516749,3238749.960526316,120000,50635000,36814170,205508.5737704918,0,3728537,427418.2,0,14108696,4212,66,,0
2468,bc1q6q55f8rwatew55a5eszue34qkp8t8u8k5h0sxz,4281172,4281172,0,2,1,1,4281172.0,4281172,4281172,4281172.0,4281172,4281172,36103,0.0,0,0,0.0,0,0,2,6,,1
2469,bc1qff7f3034wtfpp6lf89ecqhlcf3yufp08mavsxc,53279137730,53279137730,0,5856,94,109,6274004.723404256,941589,113227862,6390670.110091743,941589,113227862,7475781,80349.78494623656,0,942884,66951.21296296296,0,3103489,354,11,,0
2470,3MnJaK7R5bqiYF2iEGXhuEpfdTpwFQGZtH,2819207,2819207,0,2,1,1,2819207.0,2819207,2819207,2819207.0,2819207,2819207,1283414,0.0,0,0,0.0,0,0,1,2,,0
2471,1DhKh8DF1MrEaPo9eC67quEQzWQuJGwEbp,2301652809679,2301652809679,0,37846,95,147,100004187.81052631,13471,435888128,68379363.89795919,855,435888128,1194101,10833.712765957447,20,49795,8178.773972602739,0,172617,43,20,,0
2472,1M3U7kfHmGhyje1UKVnh227DEaE8it6DZh,379585967,379585967,0,170,50,50,4266190.56,55563,42860000,4266190.56,55563,42860000,22678014,462380.0816326531,1671,1729801,462564.0408163265,14,1720821,2450,2130,,1
2473,bc1q3ypctp6fa6cm07qwpqrut9ugnmpu2wvjkc73da,2089753,2089753,0,2,1,1,2089753.0,2089753,2089753,2089753.0,2089753,2089753,6105,0.0,0,0,0.0,0,0,1,24,,1
2474,14z8nwoEpmwWa85bVxtmUmYL3cJ7y1cDVG,1087464,1087464,0,2,1,1,1087464.0,1087464,1087464,1087464.0,1087464,1087464,33164,0.0,0,0,0.0,0,0,1,6,,1
2475,bc1qpxu5al40shkczg2j92vjdky4shyck9whaz8vuu,15820135,15820135,0,10,5,5,3164027.0,2140549,3536081,3164027.0,2140549,3536081,535513,0.0,0,0,133878.25,0,466830,5,13,,0
2476,bc1q2epxdj2c30wdp8qsnwvpnaczelrsg3txt3dqhn,1005850553,1005835087,15466,257,94,94,4986114.617021277,6376,20809036,5003070.180851064,6376,20809036,27138357,291810.29032258067,31,2149182,291810.29032258067,0,2186501,33,19,,0
2477,1F5RH8dTtzyznsPENTkUzrG62BuhbQsXLG,73875120,73875120,0,42,40,40,1846878.0,2418,27853591,1846878.0,2418,27853591,516463,12999.897435897436,86,76761,54.07692307692308,0,2109,112,1324,,1
2478,bc1qchq063hy86q40kvfg727e5yd4qcygfwmcmrcel,377118850,377118850,0,2,1,1,377118850.0,377118850,377118850,377118850.0,377118850,377118850,3,0.0,0,0,0.0,0,0,1,3,,0
2479,3MoW7uHmfphqQQr3siTKvRATW5bNVbT5CC,546448747,546448747,0,2191,61,62,405096.68852459016,60755,3277239,404878.7419354839,60755,3277239,1138673,16249.55,0,680707,18624.655737704918,0,835627,13019,758,,0
2480,3Ao5JHDGcxab33JYyzSn6ahv2d3LhcXyAk,1074717,1074717,0,2,1,1,1074717.0,1074717,1074717,1074717.0,1074717,1074717,36574,0.0,0,0,0.0,0,0,5,3,,0
2481,bc1q9qzsjhmkt888ptdzprywwf4uuan2mpffsphggr,19389719,19389719,0,2,1,1,19389719.0,19389719,19389719,19389719.0,19389719,19389719,11632173,0.0,0,0,0.0,0,0,21,8,,1
2482,bc1q7mmhwf06jddz52a6z7d3ses7xy8hawmg8zx0ku,6035,6035,0,2,1,1,6035.0,6035,6035,6035.0,6035,6035,54412,0.0,0,0,0.0,0,0,7,2,,0
2483,bc1qvf2qepvcmu5r0cy7kjx00saxfq0tt8wy9we2ws,80356010,80356010,0,2,1,1,80356010.0,80356010,80356010,80356010.0,80356010,80356010,32528,0.0,0,0,0.0,0,0,3,91,,0
2484,12aCpG4RpEmj51Y5mAnBrzFgVUaNgsoNXe,6561000,6561000,0,2,1,1,6561000.0,6561000,6561000,6561000.0,6561000,6561000,101676,0.0,0,0,0.0,0,0,1,4,,1
2485,3MXWKnt6CRXRHcVm2fyLq4SdG2FQpDPUux,14056382933972,14056377940019,4993953,50566,100,101,353312295.6,101793,1650000000,355228685.0594059,101793,1650000000,849490,8580.70707070707,5,59095,8494.9,0,59095,3,100,,0
2486,bc1qx8kazzqa6j430n24677xr6zs60wtc7h3skvu86,337654,337654,0,2,1,1,337654.0,337654,337654,337654.0,337654,337654,2981498,0.0,0,0,0.0,0,0,384,3,,0
2487,39GCh9xPmBABeFw268kdqDUBmgM6aD5eGw,10883848,10883848,0,24,14,14,777417.7142857143,119576,3983442,777417.7142857143,119576,3983442,16739234,1280711.0,110,8003786,1276337.8461538462,0,8036693,1999,55,,1
2488,1292tZj4921PqE1ikjd4m5hmZd4RuVzdpF,67362125,67362125,0,5,4,4,16840531.25,6961662,24189612,16840531.25,6961662,24189612,760111,2606.6666666666665,627,5538,0.0,0,0,3,18,,1
2489,3QavSEAhJwr7zz6CorSdQQvAptkV6ZKZuE,235478246,235478246,0,9,7,7,33639749.428571425,5369000,100000000,33639749.428571425,5369000,100000000,13675,2069.6666666666665,0,4845,0.0,0,0,14,207,,1
2490,1AMSoAXxhhHU1FkVgoiK6CBsoXgjqBdnzV,852245,852245,0,2,1,1,852245.0,852245,852245,852245.0,852245,852245,8163,0.0,0,0,0.0,0,0,2,3,,0
2491,12CDdGMMhgd9uovrM3FGvFL2B2RzB3Srxn,5919536,5919536,0,2,1,1,5919536.0,5919536,5919536,5919536.0,5919536,5919536,18907,0.0,0,0,0.0,0,0,3,3,,1
2492,bc1qwxghd5tl6lstq63c9gsgltuf3ffw9pxgaja6ah8whgsqe0650ftse42330,1913256,1913256,0,2,1,1,1913256.0,1913256,1913256,1913256.0,1913256,1913256,4223,0.0,0,0,0.0,0,0,2,3,,0
2493,1PSPmMbVQ5CWwQRXKgCenf1eJXYRLRZDjC,703344,703344,0,17,10,10,70334.4,5800,176870,70334.4,5800,176870,3636374,403289.6666666667,766,1882969,401217.0,0,1884480,128,664,,1
2494,bc1q90rpnekz2m8kpt3el2mvdjv44q6npx9pg4vctj,46575688,46575688,0,2,1,1,46575688.0,46575688,46575688,46575688.0,46575688,46575688,941,0.0,0,0,0.0,0,0,1,3,,0
2495,bc1qehz4aq9szlpjwzjnzrjzjx5ywf753vujj60emc,16948477,13035604,3912873,10,10,7,1694847.7,33931,4025368,1862229.142857143,158766,4025368,12088883,1343209.2222222222,14960,4115703,733659.1666666666,0,2059129,4,278,,0
2496,3HKDvrE95xF8UYRyVNpPenaMB8f4PSLDEa,310662,310662,0,2,1,1,310662.0,310662,310662,310662.0,310662,310662,0,0.0,0,0,0.0,0,0,1,1,,0
2497,bc1qxhsh2v8e6tz3y0js2sctcu5pjtu7cm783k8e0c,13854072,13854072,0,2,1,1,13854072.0,13854072,13854072,13854072.0,13854072,13854072,14114,0.0,0,0,0.0,0,0,2,3,,0
2498,3G5hBoSmASwMR1aK7SfVaR7hXr1nZPgUBe,275415622648,275415622648,0,56495,56,117,3221632.125,51952,20613185,2971420.2735042735,546,23414974,1929722,1291.6909090909091,0,10958,16635.53448275862,0,610727,208,337,,1
