,Address,Total_Rec,Total_Sent,Balance,N_TX,N_Rec,N_Sent,Avg_Rec,Min_Rec,Max_Rec,Avg_Sent,Min_Sent,Max_Sent,Time_Between_FirstLast,Avg_Delta_Rec,Min_Delta_Rec,Max_Delta_Rec,Avg_Delta_Sent,Min_Delta_Sent,Max_Delta_Sent,Unique_Rec,Unique_Sent,Month
27,bc1qvp9esrsqa28ypnw6ruj4q5gx6klszlf9e3wu4p,154943631,154943631,0,2,1,1,154943631.0,154943631,154943631,154943631.0,154943631,154943631,1478567,0.0,0,0,0.0,0,0,1,23,1
28,31r5e2zkFrtyTdkgfTmJmkRHYNVcWXyCds,1675031531,1675031531,0,313,52,53,18641109.980769232,45770,234186986,18295999.96226415,45770,234186986,22890907,441290.8431372549,1240,2752113,440209.75,0,2764840,3182,244,1
29,bc1qrfe0fwv666gljrm33uns9zgqmf6vu8u5u0zg6m,22819183604,22819183604,0,17477,76,572,1177893.1973684211,64913,32989500,434573.43356643355,19500,32989500,331265,2304.9866666666667,0,9065,580.1488616462346,0,36003,626,6,1
30,34ioHHREU6YAjRbveZ4x2QWYmHLt4BUXfA,8976623683,8976623683,0,451,97,130,13919194.484536082,2054,427462163,10426435.569230769,2054,427462163,3408470,34950.0,0,237600,22246.720930232557,0,614748,57,4,1
31,bc1qamwgrkv8e6p30rqq7zv7kcknxkuaqalh6ymsj4,130076495,130053993,22502,79,73,71,1781869.7945205478,986,12303822,1831746.38028169,986,12303822,27610372,383477.3888888889,43,5333045,382841.9428571428,0,5338407,17,333,1
32,bc1q2ze4gk6f00h5glln8ht3cvs6mpsqhrew9rkdrx,10271,10271,0,2,1,1,10271.0,10271,10271,10271.0,10271,10271,62608,0.0,0,0,0.0,0,0,2,3,1
33,17HMi1prJmrm3Bxf8YqpmQWk8QNuQrCwkK,5181972,5181972,0,218,78,91,20042.67948717949,3379,68453,19051.846153846152,3379,68453,3543519,44792.753246753244,954,632361,37189.066666666666,0,860519,3635,23,1
34,bc1qn0xc748qfztr8rm23m8w3az5gp2gy64d5j74ueqycsh8qnj9z48sswyp5q,11070241,11070241,0,2,1,1,11070241.0,11070241,11070241,11070241.0,11070241,11070241,905,0.0,0,0,0.0,0,0,2,3,1
35,37raxXBmvQdCo41J56p6Gr74fgZErCt3SG,9810608,9810608,0,2,1,1,9810608.0,9810608,9810608,9810608.0,9810608,9810608,82294,0.0,0,0,0.0,0,0,1,3,1
36,1CAuLMfKmeW6fmJQ4CXENFgysinEKu1n5T,194280,194280,0,2,1,1,194280.0,194280,194280,194280.0,194280,194280,302,0.0,0,0,0.0,0,0,1,16,1
37,bc1q5z6qfjkrdal2tnslzvv0qmee9gqjqs96ejypc2e6ktw59xph69mqzrdfac,3434977922641,3434977922641,0,5071,99,101,735754577.969697,4922932,3510944179,755968800.960396,4922932,3510944179,31605,322.5,0,4347,316.05,0,4347,459,1205,1
38,bc1qp0tjhdvnh7tyly5vvsrlk9twdpeycsl88n0qpz,13196312,13196312,0,72,39,39,338366.9743589744,6209,947309,338366.9743589744,6209,947309,25218968,663621.6052631579,0,2890095,663657.052631579,0,2871927,32,1858,1
39,bc1q4x0yehgusxs4f5w3nyk0kxjwe4g389fq48xc7t,17230183854,17230183854,0,457,99,100,8666438.747474747,27448,16872800,8749290.88,27448,16951652,1777722,1718.295918367347,0,34940,17956.78787878788,0,1609329,3,96,1
40,bc1qrr5kl82pvf9vqlz2m0sj7zzlc5qfg39efp2r4m,8550729,8537477,13252,41,40,32,213768.225,1101,1484951,266796.15625,1813,1484951,37096261,951186.1794871795,481,8474184,1195624.2580645161,0,9111038,45,2341,1
41,1CJqyE9GbLWHCQFRTkaL17VEYSwaCkEKDn,11502302,11502302,0,165,34,68,138258.20588235295,7829,359844,125127.9705882353,7829,609143,12397443,327572.0,3332,1180722,166446.05970149254,0,3907266,24766,65,1
42,bc1qezhtx7960j5k3jw2jg4qn8gthkekd98tpngnkn,34831,34831,0,2,1,1,34831.0,34831,34831,34831.0,34831,34831,811,0.0,0,0,0.0,0,0,1,87,1
43,3M85cMP1pQ13NmjJuACmQFHpPQzdYgzrEb,6531000,6531000,0,4,2,2,3265500.0,2814408,3716592,3265500.0,2814408,3716592,42519,0.0,0,0,0.0,0,0,4,334,1
44,bc1qn4cqxclthaylewcy2axurx5zhdeflu32qn0h9j,25690,25690,0,2,1,1,25690.0,25690,25690,25690.0,25690,25690,67143,0.0,0,0,0.0,0,0,1,3,1
45,bc1qrr9q0q4t8mc9j075hnzvhn2p0rxchjqreu7p2e,438,438,0,2,1,1,438.0,438,438,438.0,438,438,33484348,0.0,0,0,0.0,0,0,10,3,1
46,bc1qg070g272jzg7mfmmwa8sk8csp26zf9xexrt0fj,2768689416,2768681684,7732,4907,100,135,877899.71,782,3674184,655880.1851851852,980,3674184,7629273,77063.36363636363,78,3382881,56934.87313432836,0,3383443,11,133,1
47,bc1qp2qwu9rg2qct2wxfnn0mz569mu0amlrktd806j,3750000,3750000,0,2,1,1,3750000.0,3750000,3750000,3750000.0,3750000,3750000,192448,0.0,0,0,0.0,0,0,3,3,1
